date,composite,positive,negative,neutral,article_count,avg_confidence
2026-02-03,0.3945198222563594,0.5952902835565643,0.2007704613002049,0.20393925026716964,11,0.9270041259852323
2026-02-04,0.15415479246795227,0.5194725285825678,0.3653177361146155,0.11520973585600236,73,0.8754475263700093
2026-02-05,0.16046704745782808,0.5044344924479099,0.34396744499008186,0.15159804858842105,56,0.8625775187143258
2026-02-06,0.24663764254250406,0.44610198462577205,0.199464342083268,0.35443367292381933,28,0.813189006277493
2026-02-07,0.49002759078366775,0.648036354748927,0.1580087639652592,0.1939548765528004,15,0.8137610952059428
2026-02-08,-0.0653532915438732,0.33343257857248965,0.39878587011636285,0.26778154910817276,20,0.856395936012268
2026-02-09,0.1318806397870798,0.44772697082310614,0.31584633103602633,0.236426696108714,27,0.870473340705589
2026-02-10,0.41663990135318585,0.6174499994604654,0.20081009810727957,0.18173989652010378,37,0.8481008249360162
2026-02-11,-0.006372629673619956,0.3789212217506626,0.3852938514242826,0.23578492142747476,35,0.855413338967732
2026-02-12,-0.00948562955025356,0.422989839138696,0.43247546868894954,0.1445346844987844,57,0.8839788144094902
2026-02-13,0.06825741358717313,0.4137355058634957,0.3454780922763226,0.24078640119896424,26,0.8343666459505374
2026-02-14,0.06725234467181745,0.40633527850898904,0.3390829338371716,0.254581784002907,35,0.8205958613327571
2026-02-15,0.33056732741677575,0.5769525044245307,0.24638517700775495,0.17666232279481092,22,0.884577599438754
2026-02-16,0.25186120114667093,0.43947311059626243,0.1876119094495915,0.37291497196073037,28,0.826827951839992
2026-02-17,0.2963322530882066,0.5455076896005709,0.24917543651236435,0.20531688045726404,36,0.8209948854313956
2026-02-18,-0.22125492564129973,0.2918545264225599,0.5131094520638596,0.19503601367125672,38,0.8504411711504585
2026-02-19,0.14246813756258914,0.4595186079726573,0.3170504704100682,0.22343092588463875,47,0.8306590724498668
2026-02-20,0.023011942973462818,0.3956526466784604,0.3726407037049976,0.23170664526926668,30,0.786792986591657
2026-02-21,0.3528811626703119,0.5274292099689125,0.1745480472986006,0.2980227415615993,28,0.7606195615870612
2026-02-22,0.08475360680048433,0.3997528120076713,0.314999205207187,0.28524798848145105,30,0.8444698105255762
2026-02-23,0.23706570376194008,0.47933461397665666,0.24226891021471658,0.27839646930921064,29,0.8357963829204954
2026-02-24,0.4160211607524945,0.5969920831464166,0.18097092239392207,0.22203699030488872,31,0.8096693446559291
2026-02-25,0.2822862158151104,0.534374453147909,0.2520882373327986,0.21353731223593958,25,0.8029846668243408
2026-02-26,0.4128816458601251,0.5421527166297548,0.1292710707696297,0.32857621721055197,32,0.8086483739316463
2026-02-27,0.21778956168027525,0.4505789749023995,0.23278941322212426,0.31663161505649723,35,0.8742440087454659
2026-02-28,0.42753154745654526,0.5698371436208486,0.14230559616430333,0.28785726271902995,24,0.8469152897596359
2026-03-01,0.3233506217218485,0.5151010719003509,0.19175045017850245,0.29314847902472313,28,0.8381799076284681
2026-03-02,0.26780333888272073,0.49354747763463236,0.22574413875191163,0.2807084058303,44,0.8241333582184531
2026-03-03,0.22343849437901223,0.41606177243869746,0.19262327805968524,0.39131494651545035,33,0.822492778301239
2026-03-04,0.33597851436109283,0.5327447983722845,0.1967662840111917,0.2704889124581346,40,0.8156154379248619
