date,composite,positive,negative,neutral,article_count,avg_confidence
2026-02-03,0.6096660020755971,0.6420517888447332,0.03238578676913622,0.3255624044572914,10,0.80890793800354
2026-02-04,0.1417794669318133,0.4756144865830295,0.3338350196512162,0.1905505055094454,47,0.8502193150368142
2026-02-05,0.18089495963161095,0.46762814953822107,0.2867331899066101,0.2456386606113142,35,0.8220499217510223
2026-02-06,0.36844459409242086,0.5454160999772745,0.1769715058848536,0.2776123790218321,26,0.8039801189532647
2026-02-07,0.10958725741756192,0.4508968927937847,0.3413096353762228,0.20779348058774746,21,0.8449405701387496
2026-02-08,0.10406440685462676,0.4222824533685542,0.31821804651392743,0.2594994949447157,17,0.8531606372664956
2026-02-09,0.1470883317907905,0.4093853802806269,0.26229704848983637,0.3283175655523405,27,0.8227816511083532
2026-02-10,0.0818123378064084,0.4110980475499871,0.3292857097435787,0.25961624279874884,29,0.808589074118384
2026-02-11,0.16634108259592367,0.47641254258186483,0.31007145998594116,0.21351600578519003,41,0.8832332739015905
2026-02-12,0.017237565798013832,0.397126741284404,0.3798891754863902,0.2229840814307119,26,0.8449357495858119
2026-02-13,-0.022884466482332277,0.3925744799952907,0.415458946477623,0.191966563385272,28,0.8165227494069508
2026-02-14,-0.12849746984009291,0.35716873654701614,0.48566620638710906,0.1571650484644666,19,0.8994048708363583
2026-02-15,0.14334234757357472,0.4897663095054735,0.3464239619318988,0.16380972223089094,23,0.8822869995365972
2026-02-16,0.18573137879581186,0.5070532011549048,0.32132182235909296,0.17162499240532111,30,0.8574422299861908
2026-02-17,-0.1195214163273281,0.33182448328186603,0.45134589960919413,0.21682959491494114,25,0.8606483602523803
2026-02-18,-0.03942753340370608,0.3373741263054043,0.3768016597091104,0.285824197105787,33,0.7933875710675211
2026-02-19,0.18845176383531265,0.4381221067253504,0.24967034289003776,0.3122075646817998,27,0.8374885828406723
2026-02-20,0.1387218160104826,0.48453518467533613,0.3458133686648535,0.16965142765450195,34,0.8591446578502655
2026-02-21,0.13831077207681858,0.45453424942339593,0.31622347734657735,0.2292422729001986,26,0.7757573804030051
2026-02-22,0.4005913190658743,0.5601095540250096,0.15951823495913528,0.28037219120749535,14,0.8633362054824829
2026-02-23,0.23690678647098964,0.3878159271851726,0.15090914071418296,0.4612749215399453,27,0.8275006556952441
2026-02-24,0.14769841580726056,0.509836928129707,0.3621385123224465,0.1280245428455803,21,0.8247583664598919
2026-02-25,0.11178545110566124,0.4488625301122241,0.33707707900656286,0.21406039604342117,22,0.8590758767994967
2026-02-26,0.1925358754480708,0.4254832814214832,0.23294740597341237,0.34156930608412595,24,0.8215896114706993
2026-02-27,-0.0868540293426735,0.3747014327461587,0.4615554620888322,0.16374309862774297,19,0.8624197699521717
2026-02-28,0.35334606581824657,0.5689393803744953,0.21559331455624872,0.2154673022259624,20,0.8610233783721923
2026-03-01,0.24846030290124066,0.5542196383319163,0.3057593354306757,0.1400210238162061,13,0.9136428466209998
2026-03-02,0.07691048968144332,0.4285261077238899,0.35161561804244656,0.21985829430488665,18,0.8717168139086829
2026-03-03,0.12126186731349581,0.37278049532930807,0.25151862801581226,0.3757008689083937,30,0.8587596793969472
2026-03-04,0.32074325768450895,0.527244749784789,0.20650149210028004,0.26625376105777737,38,0.8423486524506619
2026-03-05,0.26321939517396475,0.46361838009090495,0.20039898491694016,0.33598263458617167,20,0.8220395520329475
2026-03-06,0.22012269592331232,0.44561971621922236,0.22549702029591004,0.3288832681298934,23,0.8399538656939631
2026-03-07,0.12731046401239549,0.3849172923882126,0.2576068283758171,0.35747588875397457,11,0.8161893649534746
2026-03-08,0.10113700357307759,0.41290932085888066,0.31177231728580307,0.2753183487267366,19,0.851953995855231
2026-03-09,-0.2938637579014345,0.19860360520386464,0.49246736310529915,0.3089290297086307,20,0.8572391837835311
2026-03-10,0.32828705958354243,0.5173081493320872,0.18902108974854484,0.2936707647004476,25,0.8152361536026
2026-03-11,0.009817309848245415,0.385661732462055,0.37584442261380957,0.23849384094966464,19,0.8768182177292673
2026-03-12,-0.01288388631394971,0.33927654825531356,0.35216043456926327,0.30856300973439044,29,0.8704294356806525
2026-03-13,0.277866157397323,0.4941787956984757,0.21631263830115274,0.2895085615062786,27,0.8492188939341793
2026-03-14,0.21284050629911216,0.339779617652627,0.12693911135351482,0.5332812709889594,11,0.8400701501152732
2026-03-15,0.08120555002849583,0.3288889599052283,0.24768340987673249,0.4234276510202592,13,0.8666389034344599
2026-03-16,0.16149076848088678,0.35703697971682413,0.19554621123593735,0.44741679010883206,13,0.8271769331051753
