Date,open,high,low,close,volume,return,log_return,next_return
2026-02-03,424.2699890136719,428.55999755859375,413.69000244140625,421.9599914550781,56886500,0.0003555958781265023,0.00035553266889641583,-0.03779974882085746
2026-02-04,420.4599914550781,423.8999938964844,399.17999267578125,406.010009765625,74606900,-0.03779974882085746,-0.038532688670109685,-0.02167438757390938
2026-02-05,397.0199890136719,402.1000061035156,387.5299987792969,397.2099914550781,72819800,-0.02167438757390938,-0.02191272731756527,0.03499406912088299
2026-02-06,400.8699951171875,414.54998779296875,397.75,411.1099853515625,62677100,0.03499406912088299,0.03439569638292661,0.015105500216312517
2026-02-09,409.9100036621094,421.25,407.2900085449219,417.32000732421875,54484300,0.015105500216312517,0.014992548192064116,0.018906316477488305
2026-02-10,418.0799865722656,427.25,417.0,425.2099914550781,64450200,0.018906316477488305,0.018729813289406434,0.00719643851293883
2026-02-11,427.9599914550781,436.3500061035156,420.0299987792969,428.2699890136719,57362000,0.00719643851293883,0.007170667714086594,-0.02615168463063977
2026-02-12,430.29998779296875,436.2300109863281,414.0,417.07000732421875,61933400,-0.02615168463063977,-0.026499721174377204,0.0008871295242764976
2026-02-13,414.30999755859375,424.05999755859375,410.8800048828125,417.44000244140625,51434100,0.0008871295242764976,0.0008867362574486323,-0.016313715788533356
2026-02-17,412.3599853515625,413.7200012207031,400.510009765625,410.6300048828125,59678800,-0.016313715788533356,-0.016448249621048336,0.0016803507615161806
2026-02-18,411.1099853515625,416.8999938964844,409.5799865722656,411.32000732421875,45921400,0.0016803507615161806,0.001678940551719039,0.0009481282794785439
2026-02-19,407.25,415.25,404.1099853515625,411.7099914550781,51019600,0.0009481282794785439,0.000947679089765262,0.00026721690370390405
2026-02-20,408.29998779296875,414.70001220703125,405.5,411.82000732421875,57912200,0.00026721690370390405,0.0002671812076260135,-0.02911471161845125
2026-02-23,407.2900085449219,407.70001220703125,394.0400085449219,399.8299865722656,69680000,-0.02911471161845125,-0.02954695527872473,0.023885197787236967
2026-02-24,399.5,410.82000732421875,397.6400146484375,409.3800048828125,58579500,0.023885197787236967,0.023604408796446652,0.019590573349979934
2026-02-25,412.1499938964844,420.3399963378906,412.1499938964844,417.3999938964844,54809700,0.019590573349979934,0.01940114803767631,-0.021130827631028026
2026-02-26,414.4200134277344,416.80999755859375,403.6600036621094,408.5799865722656,53602500,-0.021130827631028026,-0.021357279325286554,-0.014856275407819197
2026-02-27,402.94000244140625,407.1199951171875,398.1099853515625,402.510009765625,56890100,-0.014856275407819197,-0.014967735162802963,0.0020123662491409178
2026-03-02,390.6000061035156,404.5400085449219,388.25,403.32000732421875,55088300,0.0020123662491409178,0.002010344152525457,-0.027000928420799375
2026-03-03,395.0899963378906,396.3399963378906,385.3900146484375,392.42999267578125,62617300,-0.027000928420799375,-0.027372150980348144,0.03442654745501761
2026-03-04,397.8500061035156,408.3299865722656,394.5799865722656,405.94000244140625,68305500,0.03442654745501761,0.03384721273919843,-0.0009607691927178141
2026-03-05,401.57000732421875,408.6199951171875,399.4200134277344,405.54998779296875,51925900,-0.0009607691927178141,-0.00096123102727329,-0.021748186591348584
2026-03-06,398.0899963378906,402.3500061035156,394.2099914550781,396.7300109863281,64054600,-0.021748186591348584,-0.02198816416611494,0.004915135319874642
2026-03-09,390.04998779296875,401.5899963378906,381.3999938964844,398.67999267578125,67018900,0.004915135319874642,0.004903095477786746,0.0014046291985592152
2026-03-10,402.2200012207031,406.5899963378906,398.19000244140625,399.239990234375,59258700,0.0014046291985592152,0.0014036436297643494,0.02149087591352461
2026-03-11,402.2799987792969,416.3800048828125,402.1499938964844,407.82000732421875,62559900,0.02149087591352461,0.02126320318819362,-0.03141091003024221
2026-03-12,405.17999267578125,406.5,394.6499938964844,395.010009765625,60973800,-0.03141091003024221,-0.031914812787204434,-0.009645319015724074
2026-03-13,399.1700134277344,400.20001220703125,389.95001220703125,391.20001220703125,58504100,-0.009645319015724074,-0.009692136394107657,0.011145156481373375
2026-03-16,396.2200012207031,403.7300109863281,394.4200134277344,395.55999755859375,58068300,0.011145156481373375,0.011083506865035645,0.00937908655570907
2026-03-17,395.69000244140625,400.1199951171875,393.0,399.2699890136719,46890500,0.00937908655570907,0.00933537602077204,-0.016254640751756533
2026-03-18,399.0,403.07000732421875,392.30999755859375,392.7799987792969,50853100,-0.016254640751756533,-0.016388196671314647,-0.03177353995904619
2026-03-19,387.2699890136719,387.2699890136719,378.7300109863281,380.29998779296875,67078300,-0.03177353995904619,-0.03228927274343446,-0.03244805872728129
